"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,Old price=$x. New price=$10. Percent decrease=80%. Find x.,50,,,,300,,,typing
2,Old price=$195. New price=$x. Percent decrease=80%. Find x.,39,,,,300,,,typing
3,Old price=$370. New price=$x. Percent decrease=90%. Find x.,37,,,,300,,,typing
4,Old price=$x. New price=$40. Percent decrease=80%. Find x.,200,,,,300,,,typing
5,Old price=$140. New price=$x. Percent decrease=50%. Find x.,70,,,,300,,,typing
6,Old price=$25. New price=$x. Percent decrease=72%. Find x.,7,,,,300,,,typing
7,Old price=$x. New price=$18. Percent increase=50%. Find x.,12,,,,300,,,typing
8,Old price=$x. New price=$244. Percent decrease=39%. Find x.,400,,,,300,,,typing
9,Old price=$205. New price=$82. Percent decrease=x%. Find x.,60,,,,300,,,typing
10,Old price=$x. New price=$36. Percent decrease=88%. Find x.,300,,,,300,,,typing
11,Old price=$120. New price=$204. Percent increase=x%. Find x.,70,,,,300,,,typing
12,Old price=$105. New price=$189. Percent increase=x%. Find x.,80,,,,300,,,typing
13,Old price=$180. New price=$63. Percent decrease=x%. Find x.,65,,,,300,,,typing
14,Old price=$x. New price=$266. Percent decrease=24%. Find x.,350,,,,300,,,typing
15,Old price=$x. New price=$93. Percent increase=24%. Find x.,75,,,,300,,,typing
16,Old price=$x. New price=$156. Percent decrease=52%. Find x.,325,,,,300,,,typing
17,Old price=$x. New price=$183. Percent increase=50%. Find x.,122,,,,300,,,typing
18,Old price=$x. New price=$183. Percent decrease=40%. Find x.,305,,,,300,,,typing
19,Old price=$226. New price=$x. Percent increase=50%. Find x.,339,,,,300,,,typing
20,Old price=$x. New price=$40. Percent decrease=90%. Find x.,400,,,,300,,,typing
21,Old price=$200. New price=$354. Percent increase=x%. Find x.,77,,,,300,,,typing
22,Old price=$250. New price=$x. Percent decrease=80%. Find x.,50,,,,300,,,typing
23,Old price=$400. New price=$100. Percent decrease=x%. Find x.,75,,,,300,,,typing
24,Old price=$194. New price=$97. Percent decrease=x%. Find x.,50,,,,300,,,typing
25,Old price=$236. New price=$x. Percent decrease=75%. Find x.,59,,,,300,,,typing
26,Old price=$50. New price=$44. Percent decrease=x%. Find x.,12,,,,300,,,typing
27,Old price=$50. New price=$x. Percent decrease=34%. Find x.,33,,,,300,,,typing
28,Old price=$x. New price=$132. Percent increase=50%. Find x.,88,,,,300,,,typing
29,Old price=$x. New price=$255. Percent increase=25%. Find x.,204,,,,300,,,typing
30,Old price=$124. New price=$x. Percent increase=25%. Find x.,155,,,,300,,,typing
31,Old price=$360. New price=$270. Percent decrease=x%. Find x.,25,,,,300,,,typing
32,Old price=$x. New price=$53. Percent decrease=75%. Find x.,212,,,,300,,,typing
33,Old price=$75. New price=$x. Percent decrease=96%. Find x.,3,,,,300,,,typing
34,Old price=$250. New price=$185. Percent decrease=x%. Find x.,26,,,,300,,,typing
35,Old price=$x. New price=$5. Percent decrease=96%. Find x.,125,,,,300,,,typing
36,Old price=$30. New price=$x. Percent increase=80%. Find x.,54,,,,300,,,typing
37,Old price=$x. New price=$198. Percent decrease=50%. Find x.,396,,,,300,,,typing
38,Old price=$x. New price=$98. Percent decrease=65%. Find x.,280,,,,300,,,typing
39,Old price=$396. New price=$99. Percent decrease=x%. Find x.,75,,,,300,,,typing
40,Old price=$x. New price=$23. Percent decrease=54%. Find x.,50,,,,300,,,typing
41,Old price=$344. New price=$x. Percent decrease=50%. Find x.,172,,,,300,,,typing
42,Old price=$150. New price=$69. Percent decrease=x%. Find x.,54,,,,300,,,typing
43,Old price=$288. New price=$x. Percent decrease=75%. Find x.,72,,,,300,,,typing
44,Old price=$x. New price=$390. Percent increase=50%. Find x.,260,,,,300,,,typing
45,Old price=$240. New price=$60. Percent decrease=x%. Find x.,75,,,,300,,,typing
46,Old price=$115. New price=$69. Percent decrease=x%. Find x.,40,,,,300,,,typing
47,Old price=$125. New price=$x. Percent decrease=48%. Find x.,65,,,,300,,,typing
48,Old price=$x. New price=$116. Percent decrease=71%. Find x.,400,,,,300,,,typing
49,Old price=$220. New price=$x. Percent increase=70%. Find x.,374,,,,300,,,typing
50,Old price=$x. New price=$8. Percent decrease=80%. Find x.,40,,,,300,,,typing
51,Old price=$225. New price=$x. Percent increase=68%. Find x.,378,,,,300,,,typing
52,Old price=$x. New price=$34. Percent increase=70%. Find x.,20,,,,300,,,typing
53,Old price=$264. New price=$x. Percent decrease=50%. Find x.,132,,,,300,,,typing
54,Old price=$x. New price=$45. Percent increase=80%. Find x.,25,,,,300,,,typing
55,Old price=$25. New price=$x. Percent increase=68%. Find x.,42,,,,300,,,typing
56,Old price=$10. New price=$x. Percent decrease=40%. Find x.,6,,,,300,,,typing
57,Old price=$x. New price=$390. Percent increase=25%. Find x.,312,,,,300,,,typing
58,Old price=$60. New price=$x. Percent decrease=25%. Find x.,45,,,,300,,,typing
59,Old price=$152. New price=$228. Percent increase=x%. Find x.,50,,,,300,,,typing
